idx,reduced_embeddings
222,"[0.0, 4.33326530456543, 0.0, 0.0, 2.3804643154144287, 2.848259210586548, 1.9723799228668213, 0.0, 2.983368158340454, 1.4098260402679443, 0.0, 0.0, 0.17341335117816925, 0.0, 1.6209681034088135, 1.6394280195236206, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9096139669418335, 0.0, 0.0, 0.0, 0.0, 0.7606412172317505, 0.0, 0.0, 0.0, 2.607788562774658, 0.0, 3.45755672454834, 0.0, 4.066588878631592, 0.0, 3.8691296577453613, 0.0, 0.0, 0.0, 2.977226734161377, 5.024929046630859, 0.0, 2.4592294692993164, 0.0, 0.0, 0.36065027117729187, 0.0, 0.8413119316101074, 0.0, 0.0, 2.4206390380859375, 0.0, 0.0, 0.0, 0.0, 0.0, 4.161320209503174, 0.0, 0.0, 0.0, 0.16370005905628204, 1.6377651691436768, 0.8008327484130859]"
376,"[0.0, 4.43097448348999, 0.0, 0.0, 2.456573486328125, 2.8127338886260986, 2.0804197788238525, 0.0, 3.043940544128418, 1.4835182428359985, 0.0, 0.0, 0.1585363894701004, 0.0, 1.7661778926849365, 1.7665448188781738, 0.0, 0.0, 0.0, 0.0, 0.0, 1.831328272819519, 0.0, 0.0, 0.0, 0.0, 0.6981396675109863, 0.0, 0.0, 0.0, 2.6631996631622314, 0.0, 3.5933494567871094, 0.0, 4.255568504333496, 0.0, 3.8761377334594727, 0.0, 0.0, 0.0, 3.065012216567993, 5.0394606590271, 0.0, 2.5726478099823, 0.0, 0.0, 0.3932377099990845, 0.0, 0.8782304525375366, 0.0, 0.0, 2.513339042663574, 0.0, 0.0, 0.0, 0.0, 0.0, 4.207821369171143, 0.0, 0.0, 0.0, 0.12598171830177307, 1.6917611360549927, 0.8594422340393066]"
300,"[0.0, 4.306825637817383, 0.0, 0.0, 2.3436405658721924, 2.9200639724731445, 1.9482746124267578, 0.0, 2.999811887741089, 1.4167324304580688, 0.0, 0.0, 0.0, 0.0, 1.5166043043136597, 1.6375523805618286, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9678552150726318, 0.0, 0.0, 0.0, 0.0, 0.8121088743209839, 0.0, 0.0, 0.0, 2.6809778213500977, 0.0, 3.4009342193603516, 0.0, 4.020681858062744, 0.0, 3.812891960144043, 0.0, 0.0, 0.0, 3.233590841293335, 4.933955669403076, 0.0, 2.6339218616485596, 0.0, 0.0, 0.44546622037887573, 0.0, 0.6925622820854187, 0.0, 0.0, 2.4188058376312256, 0.0, 0.0, 0.0, 0.0, 0.0, 4.274190902709961, 0.0, 0.0, 0.0, 0.1685740053653717, 1.6234115362167358, 0.7917927503585815]"
102,"[0.0, 4.319739818572998, 0.0, 0.0, 2.3800344467163086, 2.8292903900146484, 1.9321484565734863, 0.0, 2.98293399810791, 1.4306488037109375, 0.0, 0.0, 0.08525849878787994, 0.0, 1.6246260404586792, 1.6409988403320312, 0.0, 0.0, 0.0, 0.0, 0.0, 1.81785249710083, 0.0, 0.0, 0.0, 0.0, 0.8114597201347351, 0.0, 0.0, 0.0, 2.6049351692199707, 0.0, 3.428877830505371, 0.0, 4.032406330108643, 0.0, 3.8091726303100586, 0.0, 0.0, 0.0, 3.028510093688965, 4.954170227050781, 0.0, 2.5285260677337646, 0.0, 0.0, 0.4110713601112366, 0.0, 0.7147960662841797, 0.0, 0.0, 2.370258331298828, 0.0, 0.0, 0.0, 0.0, 0.0, 4.124554634094238, 0.0, 0.0, 0.0, 0.14888224005699158, 1.6127110719680786, 0.8132784366607666]"
346,"[0.0, 4.259015083312988, 0.0, 0.0, 2.3447723388671875, 2.781047821044922, 2.0013315677642822, 0.0, 2.903719425201416, 1.4883171319961548, 0.0, 0.0, 0.13153427839279175, 0.0, 1.6268305778503418, 1.6775375604629517, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8789308071136475, 0.0, 0.0, 0.0, 0.0, 0.751166820526123, 0.0, 0.0, 0.0, 2.608963966369629, 0.0, 3.4719715118408203, 0.0, 4.0424041748046875, 0.0, 3.7425122261047363, 0.0, 0.0, 0.0, 3.002769947052002, 4.836701393127441, 0.0, 2.536243200302124, 0.0, 0.0, 0.44462159276008606, 0.0, 0.7513275146484375, 0.0, 0.0, 2.3328804969787598, 0.0, 0.0, 0.0, 0.0, 0.0, 4.074539661407471, 0.0, 0.0, 0.0, 0.15921472012996674, 1.622934341430664, 0.7728819251060486]"
777,"[0.0, 4.353194236755371, 0.0, 0.0, 2.3693037033081055, 3.017923355102539, 1.9384878873825073, 0.0, 3.048870325088501, 1.4618430137634277, 0.0, 0.0, 0.09301924705505371, 0.0, 1.6395580768585205, 1.6358052492141724, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8985247611999512, 0.0, 0.0, 0.0, 0.0, 0.8151830434799194, 0.0, 0.0, 0.0, 2.661726474761963, 0.0, 3.4885122776031494, 0.0, 4.09825325012207, 0.0, 3.829667568206787, 0.0, 0.0, 0.0, 3.2057108879089355, 4.963705062866211, 0.0, 2.592942953109741, 0.0, 0.0, 0.43825972080230713, 0.0, 0.7803971767425537, 0.0, 0.0, 2.4597887992858887, 0.0, 0.0, 0.0, 0.0, 0.0, 4.321192264556885, 0.0, 0.0, 0.0, 0.19288009405136108, 1.733880639076233, 0.8000383973121643]"
467,"[0.0, 4.323566436767578, 0.0, 0.0, 2.2711806297302246, 3.039457321166992, 1.8783996105194092, 0.0, 3.0566601753234863, 1.4803177118301392, 0.0, 0.0, 0.06997114419937134, 0.0, 1.5844300985336304, 1.5473915338516235, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7941803932189941, 0.0, 0.0, 0.0, 0.0, 0.8453274369239807, 0.0, 0.0, 0.0, 2.6712565422058105, 0.0, 3.356982707977295, 0.0, 3.9468894004821777, 0.0, 3.837596893310547, 0.0, 0.0, 0.0, 3.132897138595581, 4.924624919891357, 0.0, 2.605679512023926, 0.0, 0.0, 0.3958437442779541, 0.0, 0.6496726870536804, 0.0, 0.0, 2.3964905738830566, 0.0, 0.0, 0.0, 0.0, 0.0, 4.326988697052002, 0.0, 0.0, 0.0, 0.15399280190467834, 1.66971755027771, 0.8268214464187622]"
796,"[0.0, 4.265079975128174, 0.0, 0.0, 2.2745442390441895, 2.9120073318481445, 1.8602046966552734, 0.0, 2.9912729263305664, 1.4093457460403442, 0.0, 0.0, 0.03439268469810486, 0.0, 1.5071332454681396, 1.6025338172912598, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9017071723937988, 0.0, 0.0, 0.0, 0.0, 0.8338594436645508, 0.0, 0.0, 0.0, 2.6984200477600098, 0.0, 3.2965259552001953, 0.0, 3.9219608306884766, 0.0, 3.783029079437256, 0.0, 0.0, 0.0, 3.134340286254883, 4.96077823638916, 0.0, 2.5354409217834473, 0.0, 0.0, 0.375599205493927, 0.0, 0.6476594805717468, 0.0, 0.0, 2.3555908203125, 0.0, 0.0, 0.0, 0.0, 0.0, 4.194118499755859, 0.0, 0.0, 0.0, 0.17624473571777344, 1.5618382692337036, 0.8401862382888794]"
86,"[0.0, 4.192833423614502, 0.0, 0.0, 2.3241498470306396, 2.7728686332702637, 1.9041132926940918, 0.0, 2.9226465225219727, 1.3586969375610352, 0.0, 0.0, 0.12824030220508575, 0.0, 1.5336322784423828, 1.5799851417541504, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8661997318267822, 0.0, 0.0, 0.0, 0.0, 0.7984755039215088, 0.0, 0.0, 0.0, 2.598245859146118, 0.0, 3.254749298095703, 0.0, 3.8720550537109375, 0.0, 3.7506837844848633, 0.0, 0.0, 0.0, 2.9733834266662598, 4.885605335235596, 0.0, 2.3675482273101807, 0.0, 0.0, 0.34359094500541687, 0.0, 0.7669709920883179, 0.0, 0.0, 2.3171184062957764, 0.0, 0.0, 0.0, 0.0, 0.0, 4.025573253631592, 0.0, 0.0, 0.0, 0.14556542038917542, 1.531299114227295, 0.8484110832214355]"
13,"[0.0, 4.414287567138672, 0.0, 0.0, 2.4212241172790527, 2.828056573867798, 1.9610676765441895, 0.0, 3.0708203315734863, 1.370017409324646, 0.0, 0.0, 0.11400483548641205, 0.0, 1.6729464530944824, 1.613205075263977, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8609814643859863, 0.0, 0.0, 0.0, 0.0, 0.7882445454597473, 0.0, 0.0, 0.0, 2.598665237426758, 0.0, 3.4620862007141113, 0.0, 4.093911647796631, 0.0, 3.925318717956543, 0.0, 0.0, 0.0, 3.0310637950897217, 5.086195945739746, 0.0, 2.4742772579193115, 0.0, 0.0, 0.310400128364563, 0.0, 0.8322846293449402, 0.0, 0.0, 2.4965341091156006, 0.0, 0.0, 0.0, 0.0, 0.0, 4.2280120849609375, 0.0, 0.0, 0.0, 0.10624243319034576, 1.6502636671066284, 0.8390367031097412]"
