idx,reduced_embeddings
283,"[0.0, 4.419349670410156, 0.0, 0.0, 2.3972363471984863, 3.030740976333618, 1.9727758169174194, 0.0, 3.063058853149414, 1.4970734119415283, 0.0, 0.0, 0.03972595930099487, 0.0, 1.5785772800445557, 1.6725034713745117, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9851329326629639, 0.0, 0.0, 0.0, 0.0, 0.8215757012367249, 0.0, 0.0, 0.0, 2.77345871925354, 0.0, 3.5465657711029053, 0.0, 4.109369277954102, 0.0, 3.9102721214294434, 0.0, 0.0, 0.0, 3.3307604789733887, 5.092563629150391, 0.0, 2.6790547370910645, 0.0, 0.0, 0.3875582218170166, 0.0, 0.6374574899673462, 0.0, 0.0, 2.484771966934204, 0.0, 0.0, 0.0, 0.0, 0.0, 4.394351959228516, 0.0, 0.0, 0.0, 0.10044103115797043, 1.660475492477417, 0.7797421813011169]"
10,"[0.0, 4.2023749351501465, 0.0, 0.0, 2.291285514831543, 2.5941500663757324, 1.9165124893188477, 0.0, 2.989077091217041, 1.3855371475219727, 0.0, 0.0, 0.1762446165084839, 0.0, 1.6917767524719238, 1.6483678817749023, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6853530406951904, 0.0, 0.0, 0.0, 0.0, 0.6872014403343201, 0.0, 0.0, 0.0, 2.415048122406006, 0.0, 3.371511459350586, 0.0, 3.982247829437256, 0.0, 3.6686410903930664, 0.0, 0.0, 0.0, 2.7290329933166504, 4.868422985076904, 0.0, 2.372783899307251, 0.0, 0.0, 0.3152376711368561, 0.0, 0.8576306104660034, 0.0, 0.0, 2.423914670944214, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0546722412109375, 0.0, 0.0, 0.0, 0.04314229637384415, 1.6402806043624878, 0.8013110160827637]"
696,"[0.0, 4.3405866622924805, 0.0, 0.0, 2.325562000274658, 2.7734968662261963, 1.95408034324646, 0.0, 2.9869327545166016, 1.3773183822631836, 0.0, 0.0, 0.14702382683753967, 0.0, 1.5869611501693726, 1.6515300273895264, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9101992845535278, 0.0, 0.0, 0.0, 0.0, 0.7971524000167847, 0.0, 0.0, 0.0, 2.6179285049438477, 0.0, 3.4126617908477783, 0.0, 4.043687343597412, 0.0, 3.855750799179077, 0.0, 0.0, 0.0, 2.970653533935547, 5.049106121063232, 0.0, 2.46761417388916, 0.0, 0.0, 0.32035988569259644, 0.0, 0.7581446766853333, 0.0, 0.0, 2.3909263610839844, 0.0, 0.0, 0.0, 0.0, 0.0, 4.122973918914795, 0.0, 0.0, 0.0, 0.06944271177053452, 1.5762243270874023, 0.7936587333679199]"
530,"[0.0, 4.438287734985352, 0.0, 0.0, 2.298898696899414, 3.0385384559631348, 1.966946005821228, 0.0, 3.1440961360931396, 1.508022427558899, 0.0, 0.0, 0.07714393734931946, 0.0, 1.5907750129699707, 1.6005264520645142, 0.0, 0.0, 0.0, 0.0, 0.0, 1.831810474395752, 0.0, 0.0, 0.0, 0.0, 0.8776823878288269, 0.0, 0.0, 0.0, 2.744516372680664, 0.0, 3.394416570663452, 0.0, 4.066492080688477, 0.0, 3.829618453979492, 0.0, 0.0, 0.0, 3.1208057403564453, 5.112863063812256, 0.0, 2.585808277130127, 0.0, 0.0, 0.405459463596344, 0.0, 0.6430330276489258, 0.0, 0.0, 2.3984522819519043, 0.0, 0.0, 0.0, 0.0, 0.0, 4.285486221313477, 0.0, 0.0, 0.0, 0.11345119029283524, 1.6187474727630615, 0.9069440364837646]"
457,"[0.0, 4.2758378982543945, 0.0, 0.0, 2.3272528648376465, 2.9557852745056152, 1.8980486392974854, 0.0, 2.9831418991088867, 1.384493350982666, 0.0, 0.0, 0.021293044090270996, 0.0, 1.4840545654296875, 1.6078941822052002, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9054205417633057, 0.0, 0.0, 0.0, 0.0, 0.854398250579834, 0.0, 0.0, 0.0, 2.6994822025299072, 0.0, 3.367849349975586, 0.0, 3.945901393890381, 0.0, 3.820140838623047, 0.0, 0.0, 0.0, 3.1905250549316406, 4.934979438781738, 0.0, 2.5721559524536133, 0.0, 0.0, 0.41702473163604736, 0.0, 0.653099000453949, 0.0, 0.0, 2.358884572982788, 0.0, 0.0, 0.0, 0.0, 0.0, 4.228119373321533, 0.0, 0.0, 0.0, 0.17998209595680237, 1.598724126815796, 0.809874951839447]"
831,"[0.0, 4.33894157409668, 0.0, 0.0, 2.428940773010254, 2.803602933883667, 2.0026092529296875, 0.0, 2.9611520767211914, 1.5012892484664917, 0.0, 0.0, 0.08311237394809723, 0.0, 1.6562161445617676, 1.7462122440338135, 0.0, 0.0, 0.0, 0.0, 0.0, 2.013535499572754, 0.0, 0.0, 0.0, 0.0, 0.7437227964401245, 0.0, 0.0, 0.0, 2.7127628326416016, 0.0, 3.5963287353515625, 0.0, 4.173100471496582, 0.0, 3.880276679992676, 0.0, 0.0, 0.0, 3.18508243560791, 5.003186225891113, 0.0, 2.5722484588623047, 0.0, 0.0, 0.43141788244247437, 0.0, 0.7649698257446289, 0.0, 0.0, 2.445460319519043, 0.0, 0.0, 0.0, 0.0, 0.0, 4.218069076538086, 0.0, 0.0, 0.0, 0.15962953865528107, 1.6330313682556152, 0.7827074527740479]"
384,"[0.0, 4.257984638214111, 0.0, 0.0, 2.323826551437378, 2.7273998260498047, 1.9398021697998047, 0.0, 2.9681859016418457, 1.370811939239502, 0.0, 0.0, 0.12497717142105103, 0.0, 1.59230637550354, 1.6424306631088257, 0.0, 0.0, 0.0, 0.0, 0.0, 1.810035228729248, 0.0, 0.0, 0.0, 0.0, 0.7660658359527588, 0.0, 0.0, 0.0, 2.5358057022094727, 0.0, 3.31272029876709, 0.0, 3.9734392166137695, 0.0, 3.7761831283569336, 0.0, 0.0, 0.0, 2.946552276611328, 4.914205551147461, 0.0, 2.463857650756836, 0.0, 0.0, 0.35612213611602783, 0.0, 0.8248565196990967, 0.0, 0.0, 2.373070001602173, 0.0, 0.0, 0.0, 0.0, 0.0, 4.056053161621094, 0.0, 0.0, 0.0, 0.13417479395866394, 1.6261956691741943, 0.8448255062103271]"
105,"[0.0, 4.226999282836914, 0.0, 0.0, 2.232296943664551, 2.6272130012512207, 1.94955575466156, 0.0, 2.935720443725586, 1.2896515130996704, 0.0, 0.0, 0.09084205329418182, 0.0, 1.4590964317321777, 1.612886905670166, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9060558080673218, 0.0, 0.0, 0.0, 0.0, 0.7661283612251282, 0.0, 0.0, 0.0, 2.58212947845459, 0.0, 3.236112117767334, 0.0, 3.8541712760925293, 0.0, 3.803560256958008, 0.0, 0.0, 0.0, 2.9494662284851074, 4.945093631744385, 0.0, 2.398397445678711, 0.0, 0.0, 0.28808730840682983, 0.0, 0.6752512454986572, 0.0, 0.0, 2.343024253845215, 0.0, 0.0, 0.0, 0.0, 0.0, 4.003289222717285, 0.0, 0.0, 0.0, 0.0920487493276596, 1.4398612976074219, 0.8291282653808594]"
385,"[0.0, 4.1865644454956055, 0.0, 0.0, 2.2493064403533936, 2.5667741298675537, 1.9122025966644287, 0.0, 2.938538074493408, 1.325236439704895, 0.0, 0.0, 0.05582140386104584, 0.0, 1.575054407119751, 1.598724603652954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7990005016326904, 0.0, 0.0, 0.0, 0.0, 0.7856568694114685, 0.0, 0.0, 0.0, 2.4377739429473877, 0.0, 3.294414758682251, 0.0, 3.944150924682617, 0.0, 3.6508030891418457, 0.0, 0.0, 0.0, 2.923997402191162, 4.805444717407227, 0.0, 2.388263702392578, 0.0, 0.0, 0.35396409034729004, 0.0, 0.7412456274032593, 0.0, 0.0, 2.386291742324829, 0.0, 0.0, 0.0, 0.0, 0.0, 3.980847120285034, 0.0, 0.0, 0.0, 0.07670295238494873, 1.5410786867141724, 0.7611252665519714]"
368,"[0.0, 4.271435260772705, 0.0, 0.0, 2.3558268547058105, 2.776463508605957, 1.9739816188812256, 0.0, 2.931602716445923, 1.4386298656463623, 0.0, 0.0, 0.17435970902442932, 0.0, 1.618194818496704, 1.649835467338562, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8394341468811035, 0.0, 0.0, 0.0, 0.0, 0.7597737908363342, 0.0, 0.0, 0.0, 2.6513562202453613, 0.0, 3.4114277362823486, 0.0, 4.068802833557129, 0.0, 3.744812488555908, 0.0, 0.0, 0.0, 2.878851890563965, 4.924410820007324, 0.0, 2.3057775497436523, 0.0, 0.0, 0.36664628982543945, 0.0, 0.8351285457611084, 0.0, 0.0, 2.361983299255371, 0.0, 0.0, 0.0, 0.0, 0.0, 4.049684524536133, 0.0, 0.0, 0.0, 0.13664108514785767, 1.5457544326782227, 0.7927771210670471]"
269,"[0.0, 4.207763671875, 0.0, 0.0, 2.235630750656128, 2.7618584632873535, 1.9074146747589111, 0.0, 2.9434900283813477, 1.3628816604614258, 0.0, 0.0, 0.08480699360370636, 0.0, 1.477781891822815, 1.594193696975708, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8651758432388306, 0.0, 0.0, 0.0, 0.0, 0.7892764806747437, 0.0, 0.0, 0.0, 2.64909291267395, 0.0, 3.2530481815338135, 0.0, 3.838559627532959, 0.0, 3.761228084564209, 0.0, 0.0, 0.0, 2.961798667907715, 4.963339805603027, 0.0, 2.4195032119750977, 0.0, 0.0, 0.28389859199523926, 0.0, 0.6774845719337463, 0.0, 0.0, 2.2996113300323486, 0.0, 0.0, 0.0, 0.0, 0.0, 4.036367416381836, 0.0, 0.0, 0.0, 0.11507832258939743, 1.4508310556411743, 0.8690447807312012]"
261,"[0.0, 4.401910781860352, 0.0, 0.0, 2.352046012878418, 3.0894923210144043, 1.9717884063720703, 0.0, 3.115903377532959, 1.5146631002426147, 0.0, 0.0, 0.0397118479013443, 0.0, 1.632706880569458, 1.5875322818756104, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9005308151245117, 0.0, 0.0, 0.0, 0.0, 0.8795520663261414, 0.0, 0.0, 0.0, 2.7678661346435547, 0.0, 3.481667995452881, 0.0, 4.123133182525635, 0.0, 3.8831076622009277, 0.0, 0.0, 0.0, 3.2341487407684326, 5.066418647766113, 0.0, 2.652524471282959, 0.0, 0.0, 0.41663455963134766, 0.0, 0.6856510043144226, 0.0, 0.0, 2.448368787765503, 0.0, 0.0, 0.0, 0.0, 0.0, 4.400956630706787, 0.0, 0.0, 0.0, 0.14175133407115936, 1.6767661571502686, 0.8300154209136963]"
788,"[0.0, 4.364045143127441, 0.0, 0.0, 2.1984448432922363, 3.123466968536377, 1.9231791496276855, 0.0, 3.022285223007202, 1.4925285577774048, 0.0, 0.0, 0.07220812141895294, 0.0, 1.6108787059783936, 1.529392123222351, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8181729316711426, 0.0, 0.0, 0.0, 0.0, 0.861474335193634, 0.0, 0.0, 0.0, 2.6912195682525635, 0.0, 3.414649724960327, 0.0, 4.042436599731445, 0.0, 3.7760982513427734, 0.0, 0.0, 0.0, 3.201294422149658, 4.931920528411865, 0.0, 2.606787919998169, 0.0, 0.0, 0.43565744161605835, 0.0, 0.6500123143196106, 0.0, 0.0, 2.421535015106201, 0.0, 0.0, 0.0, 0.0, 0.0, 4.37397575378418, 0.0, 0.0, 0.0, 0.13862870633602142, 1.6970617771148682, 0.7774441242218018]"
116,"[0.0, 4.3549041748046875, 0.0, 0.0, 2.2476181983947754, 2.908228874206543, 1.9959032535552979, 0.0, 3.0617728233337402, 1.5324352979660034, 0.0, 0.0, 0.16402073204517365, 0.0, 1.6332647800445557, 1.5813169479370117, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8001689910888672, 0.0, 0.0, 0.0, 0.0, 0.8370447158813477, 0.0, 0.0, 0.0, 2.731259822845459, 0.0, 3.384842872619629, 0.0, 4.066133975982666, 0.0, 3.7214527130126953, 0.0, 0.0, 0.0, 3.087860345840454, 4.9653825759887695, 0.0, 2.52481746673584, 0.0, 0.0, 0.40789374709129333, 0.0, 0.7477322220802307, 0.0, 0.0, 2.394925832748413, 0.0, 0.0, 0.0, 0.0, 0.0, 4.237229347229004, 0.0, 0.0, 0.0, 0.08876645565032959, 1.6338614225387573, 0.8502198457717896]"
548,"[0.0, 4.346210956573486, 0.0, 0.0, 2.2978715896606445, 2.8505828380584717, 2.028078556060791, 0.0, 3.072906732559204, 1.393464207649231, 0.0, 0.0, 0.10765425860881805, 0.0, 1.543453574180603, 1.6019946336746216, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9105058908462524, 0.0, 0.0, 0.0, 0.0, 0.7949684262275696, 0.0, 0.0, 0.0, 2.7038002014160156, 0.0, 3.3844211101531982, 0.0, 4.015481948852539, 0.0, 3.8780858516693115, 0.0, 0.0, 0.0, 3.1222634315490723, 5.0966033935546875, 0.0, 2.5331835746765137, 0.0, 0.0, 0.31903713941574097, 0.0, 0.7036224603652954, 0.0, 0.0, 2.4212992191314697, 0.0, 0.0, 0.0, 0.0, 0.0, 4.21992301940918, 0.0, 0.0, 0.0, 0.08660842478275299, 1.5128403902053833, 0.9076359868049622]"
299,"[0.0, 4.250879287719727, 0.0, 0.0, 2.318711042404175, 2.8745908737182617, 1.928473949432373, 0.0, 2.979969024658203, 1.4017788171768188, 0.0, 0.0, 0.036961331963539124, 0.0, 1.5026907920837402, 1.6140224933624268, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9223710298538208, 0.0, 0.0, 0.0, 0.0, 0.8133554458618164, 0.0, 0.0, 0.0, 2.6504673957824707, 0.0, 3.3674941062927246, 0.0, 3.954102039337158, 0.0, 3.798222064971924, 0.0, 0.0, 0.0, 3.1506967544555664, 4.895658493041992, 0.0, 2.5556092262268066, 0.0, 0.0, 0.42410290241241455, 0.0, 0.67811518907547, 0.0, 0.0, 2.3771188259124756, 0.0, 0.0, 0.0, 0.0, 0.0, 4.196682929992676, 0.0, 0.0, 0.0, 0.18956351280212402, 1.586454153060913, 0.8189464807510376]"
773,"[0.0, 4.153075695037842, 0.0, 0.0, 2.3421342372894287, 2.7064719200134277, 1.9181551933288574, 0.0, 2.885033130645752, 1.2949503660202026, 0.0, 0.0, 0.14429984986782074, 0.0, 1.590022325515747, 1.5824564695358276, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8208870887756348, 0.0, 0.0, 0.0, 0.0, 0.7453029155731201, 0.0, 0.0, 0.0, 2.455336570739746, 0.0, 3.3522634506225586, 0.0, 3.945427656173706, 0.0, 3.682389497756958, 0.0, 0.0, 0.0, 2.8310818672180176, 4.837732315063477, 0.0, 2.317922353744507, 0.0, 0.0, 0.3370479643344879, 0.0, 0.7957515716552734, 0.0, 0.0, 2.332951307296753, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9933478832244873, 0.0, 0.0, 0.0, 0.1320314109325409, 1.5722885131835938, 0.7472364902496338]"
37,"[0.0, 4.3913726806640625, 0.0, 0.0, 2.4068808555603027, 2.9506425857543945, 1.9784510135650635, 0.0, 2.9865236282348633, 1.4712578058242798, 0.0, 0.0, 0.10730886459350586, 0.0, 1.6721622943878174, 1.6922781467437744, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8971409797668457, 0.0, 0.0, 0.0, 0.0, 0.801365077495575, 0.0, 0.0, 0.0, 2.6769895553588867, 0.0, 3.5240440368652344, 0.0, 4.101738929748535, 0.0, 3.8721108436584473, 0.0, 0.0, 0.0, 3.1476492881774902, 5.002834320068359, 0.0, 2.581784248352051, 0.0, 0.0, 0.43507492542266846, 0.0, 0.7441689968109131, 0.0, 0.0, 2.445113182067871, 0.0, 0.0, 0.0, 0.0, 0.0, 4.270302772521973, 0.0, 0.0, 0.0, 0.171391099691391, 1.7198607921600342, 0.7682420015335083]"
244,"[0.0, 4.053009510040283, 0.0, 0.0, 2.328582286834717, 2.410179376602173, 2.1234853267669678, 0.0, 2.717442750930786, 1.4312273263931274, 0.0, 0.0, 0.16729603707790375, 0.0, 1.722395420074463, 1.7134506702423096, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6857987642288208, 0.0, 0.0, 0.0, 0.0, 0.5934358835220337, 0.0, 0.0, 0.0, 2.384589195251465, 0.0, 3.374042510986328, 0.0, 4.029070854187012, 0.0, 3.569638729095459, 0.0, 0.0, 0.0, 2.5278289318084717, 4.600622177124023, 0.0, 2.337991237640381, 0.0, 0.0, 0.41251659393310547, 0.0, 0.8654652833938599, 0.0, 0.0, 2.2952754497528076, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6546425819396973, 0.0, 0.0, 0.0, 0.11655162274837494, 1.4368319511413574, 0.7932748794555664]"
684,"[0.0, 4.309160232543945, 0.0, 0.0, 2.2982795238494873, 3.0775227546691895, 1.8893392086029053, 0.0, 3.0475082397460938, 1.4918993711471558, 0.0, 0.0, 0.08650760352611542, 0.0, 1.5534119606018066, 1.5334795713424683, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7852641344070435, 0.0, 0.0, 0.0, 0.0, 0.8767204284667969, 0.0, 0.0, 0.0, 2.708909511566162, 0.0, 3.365802764892578, 0.0, 3.93695068359375, 0.0, 3.785059928894043, 0.0, 0.0, 0.0, 3.1251583099365234, 4.939309120178223, 0.0, 2.588026762008667, 0.0, 0.0, 0.3915292024612427, 0.0, 0.6236670613288879, 0.0, 0.0, 2.3736886978149414, 0.0, 0.0, 0.0, 0.0, 0.0, 4.3190460205078125, 0.0, 0.0, 0.0, 0.13124534487724304, 1.631399154663086, 0.8333128690719604]"
236,"[0.0, 4.379388809204102, 0.0, 0.0, 2.3220205307006836, 2.819819927215576, 1.9952093362808228, 0.0, 3.0775609016418457, 1.392903447151184, 0.0, 0.0, 0.10728299617767334, 0.0, 1.5386241674423218, 1.6563894748687744, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9353947639465332, 0.0, 0.0, 0.0, 0.0, 0.7853654623031616, 0.0, 0.0, 0.0, 2.715818166732788, 0.0, 3.393150806427002, 0.0, 4.005809307098389, 0.0, 3.9107391834259033, 0.0, 0.0, 0.0, 3.0378308296203613, 5.135412216186523, 0.0, 2.5116329193115234, 0.0, 0.0, 0.3023344576358795, 0.0, 0.7511296272277832, 0.0, 0.0, 2.4342870712280273, 0.0, 0.0, 0.0, 0.0, 0.0, 4.227095127105713, 0.0, 0.0, 0.0, 0.09823557734489441, 1.5110074281692505, 0.9045276641845703]"
342,"[0.0, 3.978562355041504, 0.0, 0.0, 2.121429920196533, 2.5527091026306152, 1.7584452629089355, 0.0, 2.7741880416870117, 1.2318506240844727, 0.0, 0.0, 0.05642792582511902, 0.0, 1.4450247287750244, 1.4836220741271973, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6947784423828125, 0.0, 0.0, 0.0, 0.0, 0.7661547064781189, 0.0, 0.0, 0.0, 2.4055981636047363, 0.0, 3.0310893058776855, 0.0, 3.641096591949463, 0.0, 3.546473979949951, 0.0, 0.0, 0.0, 2.826523542404175, 4.619288921356201, 0.0, 2.2570712566375732, 0.0, 0.0, 0.2959133982658386, 0.0, 0.6776853203773499, 0.0, 0.0, 2.2256672382354736, 0.0, 0.0, 0.0, 0.0, 0.0, 3.736450672149658, 0.0, 0.0, 0.0, 0.08286406844854355, 1.4306210279464722, 0.8033063411712646]"
200,"[0.0, 4.380373954772949, 0.0, 0.0, 2.300433874130249, 3.109766960144043, 1.9256172180175781, 0.0, 3.0938613414764404, 1.5131776332855225, 0.0, 0.0, 0.11043940484523773, 0.0, 1.5692768096923828, 1.5776349306106567, 0.0, 0.0, 0.0, 0.0, 0.0, 1.848638892173767, 0.0, 0.0, 0.0, 0.0, 0.8668064475059509, 0.0, 0.0, 0.0, 2.7743611335754395, 0.0, 3.4194271564483643, 0.0, 4.025465965270996, 0.0, 3.853963851928711, 0.0, 0.0, 0.0, 3.2420878410339355, 5.059323310852051, 0.0, 2.626965284347534, 0.0, 0.0, 0.3831246495246887, 0.0, 0.6901938915252686, 0.0, 0.0, 2.456249713897705, 0.0, 0.0, 0.0, 0.0, 0.0, 4.396004676818848, 0.0, 0.0, 0.0, 0.12184415012598038, 1.683196783065796, 0.8565350770950317]"
95,"[0.0, 4.276266098022461, 0.0, 0.0, 2.2280285358428955, 2.775221347808838, 1.921542763710022, 0.0, 2.9909987449645996, 1.428817868232727, 0.0, 0.0, 0.08937998116016388, 0.0, 1.551613688468933, 1.5953409671783447, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8117949962615967, 0.0, 0.0, 0.0, 0.0, 0.794917106628418, 0.0, 0.0, 0.0, 2.6361513137817383, 0.0, 3.2830541133880615, 0.0, 3.940189838409424, 0.0, 3.7325596809387207, 0.0, 0.0, 0.0, 3.0167596340179443, 4.908833026885986, 0.0, 2.481421947479248, 0.0, 0.0, 0.36080944538116455, 0.0, 0.6540493965148926, 0.0, 0.0, 2.3480401039123535, 0.0, 0.0, 0.0, 0.0, 0.0, 4.115855693817139, 0.0, 0.0, 0.0, 0.08888065069913864, 1.5490623712539673, 0.8563313484191895]"
461,"[0.0, 4.130655288696289, 0.0, 0.0, 2.264669895172119, 2.709137201309204, 1.9255473613739014, 0.0, 2.9174771308898926, 1.3144807815551758, 0.0, 0.0, 0.048868224024772644, 0.0, 1.5110807418823242, 1.600864291191101, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9025132656097412, 0.0, 0.0, 0.0, 0.0, 0.8111014366149902, 0.0, 0.0, 0.0, 2.531709909439087, 0.0, 3.328214645385742, 0.0, 3.904268264770508, 0.0, 3.7304937839508057, 0.0, 0.0, 0.0, 3.033273220062256, 4.846768379211426, 0.0, 2.424070358276367, 0.0, 0.0, 0.39714479446411133, 0.0, 0.6900842189788818, 0.0, 0.0, 2.302856683731079, 0.0, 0.0, 0.0, 0.0, 0.0, 4.017269134521484, 0.0, 0.0, 0.0, 0.15580299496650696, 1.524240255355835, 0.7625056505203247]"
113,"[0.0, 4.182117462158203, 0.0, 0.0, 2.291555881500244, 2.6970021724700928, 1.991566777229309, 0.0, 2.8668177127838135, 1.4033058881759644, 0.0, 0.0, 0.12723948061466217, 0.0, 1.6038362979888916, 1.6115500926971436, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7919211387634277, 0.0, 0.0, 0.0, 0.0, 0.7509651780128479, 0.0, 0.0, 0.0, 2.4624180793762207, 0.0, 3.348909854888916, 0.0, 3.992918014526367, 0.0, 3.6889030933380127, 0.0, 0.0, 0.0, 2.8846161365509033, 4.768486022949219, 0.0, 2.4253289699554443, 0.0, 0.0, 0.3830419182777405, 0.0, 0.7574315071105957, 0.0, 0.0, 2.260329246520996, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9523110389709473, 0.0, 0.0, 0.0, 0.1283496618270874, 1.572021722793579, 0.7485893964767456]"
478,"[0.0, 4.465217590332031, 0.0, 0.0, 2.3781332969665527, 2.96468186378479, 2.0282387733459473, 0.0, 3.109611988067627, 1.4709786176681519, 0.0, 0.0, 0.08796767890453339, 0.0, 1.7088432312011719, 1.7059032917022705, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9743965864181519, 0.0, 0.0, 0.0, 0.0, 0.7809305191040039, 0.0, 0.0, 0.0, 2.7023813724517822, 0.0, 3.532839775085449, 0.0, 4.284689426422119, 0.0, 3.9159626960754395, 0.0, 0.0, 0.0, 3.1972625255584717, 5.080346584320068, 0.0, 2.6006951332092285, 0.0, 0.0, 0.4265291392803192, 0.0, 0.9137747287750244, 0.0, 0.0, 2.524425983428955, 0.0, 0.0, 0.0, 0.0, 0.0, 4.3606719970703125, 0.0, 0.0, 0.0, 0.1727631539106369, 1.760742425918579, 0.8098167181015015]"
85,"[0.0, 4.345294952392578, 0.0, 0.0, 2.4105777740478516, 3.0064334869384766, 1.9363958835601807, 0.0, 3.016146183013916, 1.4724193811416626, 0.0, 0.0, 0.09799271821975708, 0.0, 1.6220424175262451, 1.6500229835510254, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8818244934082031, 0.0, 0.0, 0.0, 0.0, 0.8252638578414917, 0.0, 0.0, 0.0, 2.6825292110443115, 0.0, 3.478452205657959, 0.0, 4.10471248626709, 0.0, 3.81429123878479, 0.0, 0.0, 0.0, 3.1543121337890625, 4.9356865882873535, 0.0, 2.6003832817077637, 0.0, 0.0, 0.45286858081817627, 0.0, 0.7624563574790955, 0.0, 0.0, 2.399648427963257, 0.0, 0.0, 0.0, 0.0, 0.0, 4.307913303375244, 0.0, 0.0, 0.0, 0.19404898583889008, 1.718446969985962, 0.77601158618927]"
410,"[0.0, 4.270702362060547, 0.0, 0.0, 2.3182458877563477, 2.679434299468994, 1.9702112674713135, 0.0, 2.9429140090942383, 1.3992913961410522, 0.0, 0.0, 0.15797491371631622, 0.0, 1.5742546319961548, 1.6554656028747559, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8102641105651855, 0.0, 0.0, 0.0, 0.0, 0.7534282207489014, 0.0, 0.0, 0.0, 2.543818950653076, 0.0, 3.32601261138916, 0.0, 3.9591760635375977, 0.0, 3.8043341636657715, 0.0, 0.0, 0.0, 2.8610410690307617, 4.919441223144531, 0.0, 2.427943706512451, 0.0, 0.0, 0.3401859402656555, 0.0, 0.7401506900787354, 0.0, 0.0, 2.3453779220581055, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9920644760131836, 0.0, 0.0, 0.0, 0.12705594301223755, 1.5376112461090088, 0.8392871022224426]"
430,"[0.0, 4.300112247467041, 0.0, 0.0, 2.4060075283050537, 2.927138566970825, 1.91602623462677, 0.0, 2.934563159942627, 1.4418754577636719, 0.0, 0.0, 0.0898633748292923, 0.0, 1.655700445175171, 1.66117525100708, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8617773056030273, 0.0, 0.0, 0.0, 0.0, 0.7836266756057739, 0.0, 0.0, 0.0, 2.608492374420166, 0.0, 3.5067882537841797, 0.0, 4.088057041168213, 0.0, 3.7908143997192383, 0.0, 0.0, 0.0, 3.10679292678833, 4.886143684387207, 0.0, 2.5263495445251465, 0.0, 0.0, 0.43694764375686646, 0.0, 0.778134822845459, 0.0, 0.0, 2.3986682891845703, 0.0, 0.0, 0.0, 0.0, 0.0, 4.188209056854248, 0.0, 0.0, 0.0, 0.19391730427742004, 1.7070200443267822, 0.723317563533783]"
250,"[0.0, 4.2905988693237305, 0.0, 0.0, 2.3110547065734863, 2.834305763244629, 1.8523662090301514, 0.0, 2.976501941680908, 1.3641343116760254, 0.0, 0.0, 0.13767504692077637, 0.0, 1.4780280590057373, 1.5395373106002808, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7867580652236938, 0.0, 0.0, 0.0, 0.0, 0.7791270017623901, 0.0, 0.0, 0.0, 2.6498491764068604, 0.0, 3.30120587348938, 0.0, 3.8340888023376465, 0.0, 3.8266959190368652, 0.0, 0.0, 0.0, 2.9608078002929688, 4.97684383392334, 0.0, 2.392963171005249, 0.0, 0.0, 0.33840593695640564, 0.0, 0.633833646774292, 0.0, 0.0, 2.35434627532959, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1230244636535645, 0.0, 0.0, 0.0, 0.08229289948940277, 1.5217173099517822, 0.8677937984466553]"
